Series Name,Country Name,Country Code,Region,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,Fiji,FJI,East Asia & Pacific,0.286164624,0.288406305,0.290647986,0.292889667,0.295131349,0.29737303,0.29737303,0.29737303,0.29737303,0.29737303,0.29737303,0.29737303,0.29737303,0.29737303,0.29737303,0.29737303,0.29737303,0.29737303,0.29737303,0.29737303,0.29737303,0.29737303
Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,Finland,FIN,Europe & Central Asia,6.9612453,8.402689793,9.844134286,11.27330702,12.70247976,14.1316525,15.56082523,14.55015414,13.53948304,12.52881195,11.51814086,10.50746977,9.496798672,8.486127579,7.475456486,6.464785393,5.454114299,5.454114299,6.639791321,7.11406213,7.11406213,7.11406213
Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,France,FRA,Europe & Central Asia,28.62557997,28.47456885,28.32355773,28.6427967,28.96203566,29.28127462,28.20625055,27.13122647,25.08973124,24.92366279,25.01794625,26.39061543,24.56710146,23.77396481,23.89652456,24.61349908,23.14278211,23.58924976,23.56904868,22.94676191,21.59813707,21.59813707
Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,Gabon,GAB,Sub-Saharan Africa,0.434296029,0.447870036,0.461444043,0.475018051,0.488592058,0.502166065,0.502166065,0.502166065,0.502166065,0.502166065,0.502166065,0.502166065,0.502166065,0.502166065,0.502166065,0.502166065,0.502166065,0.502166065,0.502166065,0.502166065,0.502166065,0.502166065
Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,"Gambia, The",GMB,Sub-Saharan Africa,1.968247064,2.016528926,2.064810787,2.113092649,2.161374511,2.209656372,2.209656372,2.209656372,2.209656372,2.209656372,2.209656372,2.209656372,2.209656372,2.209656372,2.209656372,2.209656372,2.209656372,2.209656372,2.209656372,2.209656372,2.209656372,2.209656372
Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,Georgia,GEO,Europe & Central Asia,6.239522258,6.172725299,6.105928339,6.039131379,5.972334419,5.905537459,5.916395223,5.927252986,5.938110749,5.842487785,5.746864821,5.651241857,5.555618893,5.459995928,5.364372964,5.26875,5.173127036,4.477296417,4.205602606,5.120977199,5.386710098,5.240977199
Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,Germany,DEU,Europe & Central Asia,61.52313388,61.30187089,60.9343188,58.86223136,56.94478618,55.28720532,54.45761239,44.2091557,53.2747341,54.396875,45.21792763,49.92160362,46.1172437,34.71217105,42.91131031,40.89008361,33.50191886,38.03235197,36.8984841,35.35165707,35.35165707,35.35165707
Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,Ghana,GHA,Sub-Saharan Africa,4.280732345,4.398975589,4.517218832,4.635462075,4.753705318,4.871948562,4.990191805,5.108435048,5.226678291,5.344921534,5.463164778,5.594485615,5.734524847,5.830972101,5.932650392,6.27059721,6.314734089,6.314734089,6.314734089,6.314734089,6.314734089,6.314734089
Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,Greece,GRC,Europe & Central Asia,18.23912604,18.46206757,18.6850091,18.95980848,19.23460786,19.50940724,19.48533279,19.46125835,19.62022051,19.78019421,19.93814485,20.09913008,20.09913008,20.07889945,20.06069189,20.04450738,20.50576573,20.5017196,20.47744285,20.46328141,20.47744285,20.68379527
Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,Grenada,GRD,Latin America & Caribbean,5.1384,5.3194,5.66294,5.7892,5.8983,5,5.227777778,5.455555556,5.683333333,5.911111111,6.138888889,6.366666667,6.594444444,6.822222222,7.05,7.05,7.05,7.05,7.05,7.05,7.05,7.05
Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,Guatemala,GTM,Latin America & Caribbean,4.1846732,4.193120779,4.50291604,4.8127113,5.12250656,5.43230182,5.742097081,5.742097081,5.742097081,5.742097081,5.742097081,5.742097081,5.742097081,5.742097081,5.742097081,5.742097081,5.742097081,5.742097081,5.742097081,5.742097081,5.742097081,5.742097081
Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,Guinea,GIN,Sub-Saharan Africa,0.889230769,0.856923077,0.863461539,0.87,0.876538462,0.883076923,0.920473373,0.957869823,0.995266272,1.032662722,1.070059172,1.107455621,1.144852071,1.182248521,1.21964497,1.25704142,1.29443787,1.33183432,1.369230769,1.369230769,1.369230769,1.369230769
Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,Guinea-Bissau,GNB,Sub-Saharan Africa,1.495726496,1.495726496,1.495726496,1.495726496,1.495726496,1.495726496,1.495726496,1.495726496,1.495726496,1.495726496,1.495726496,1.495726496,1.495726496,1.495726496,1.495726496,1.495726496,1.495726496,1.495726496,1.495726496,1.495726496,1.495726496,1.495726496
Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,Guyana,GUY,Latin America & Caribbean,3.744292237,3.709223744,3.674155251,3.639086758,3.604018265,3.568949772,3.514840183,3.460730594,3.406621005,3.352511416,3.298401827,3.298401827,3.298401827,3.298401827,3.298401827,3.298401827,3.298401827,3.298401827,3.298401827,3.298401827,3.298401827,3.298401827
